Person Count,Height (cm),Weight (kg),Gender,Age,Time of Day,Density Level,Occlusion Level,Clothing Color,Posture,Carrying Object,Facial Visibility,Emotion,Group Size,Distance from Camera (m),Walking Speed (m/s)
13,169,45,Female,15,Night,Medium,Low,Yellow,Moving,Purse,Partially Visible,Neutral,8,29,1.87
21,158,93,Male,52,Night,Low,Medium,Green,Mixed,No Object,Visible,Sad,5,50,2.35
21,149,63,Female,58,Evening,Low,Medium,Yellow,Bending,Purse,Not Visible,Neutral,10,5,1.49
12,172,82,Male,13,Evening,High,High,Blue,Upright,Purse,Visible,Happy,1,13,1.61
22,169,92,Female,14,Morning,Low,Low,Yellow,Upright,No Object,Partially Visible,Neutral,9,25,2.07
10,179,69,Male,38,Evening,Medium,Medium,Purple,Moving,No Object,Visible,Neutral,11,58,2.21
9,172,88,Female,14,Morning,High,Low,Blue,Bending,No Object,Not Visible,Neutral,1,44,2.02
18,150,68,Female,46,Evening,Medium,Low,Blue,Upright,No Object,Visible,Happy,8,33,2.15
17,150,51,Female,57,Morning,Medium,High,Purple,Moving,Bag,Partially Visible,Happy,10,57,2.09
7,180,46,Male,25,Morning,Low,Low,Green,Mixed,Laptop,Partially Visible,Sad,8,55,2.43
21,152,51,Male,26,Night,Medium,Low,Brown,Moving,No Object,Partially Visible,Neutral,11,10,1.58
8,187,92,Male,53,Night,High,Low,Blue,Bending,Purse,Partially Visible,Sad,4,34,1.8
21,149,68,Female,29,Evening,Medium,Medium,Green,Mixed,No Object,Partially Visible,Neutral,8,57,2.28
5,177,60,Male,23,Evening,Low,Medium,Brown,Moving,No Object,Not Visible,Sad,10,15,1.48
20,188,67,Female,16,Morning,Low,Low,Purple,Upright,No Object,Visible,Happy,1,13,2.36
20,164,57,Male,52,Evening,Low,Medium,Black,Mixed,No Object,Not Visible,Sad,7,24,1.76
20,147,88,Male,56,Evening,High,High,Red,Bending,No Object,Visible,Sad,11,58,1.64
18,184,94,Female,15,Evening,High,Low,Green,Mixed,No Object,Visible,Neutral,6,17,1.78
14,153,49,Male,50,Afternoon,Medium,High,Brown,Moving,No Object,Visible,Neutral,9,39,1.78
19,168,80,Male,19,Afternoon,Medium,Low,Purple,Bending,No Object,Visible,Sad,9,19,1.6
10,189,61,Female,18,Night,Low,Medium,Yellow,Upright,Purse,Visible,Neutral,3,45,2.48
20,178,47,Female,30,Afternoon,Medium,Low,Yellow,Upright,No Object,Not Visible,Neutral,5,53,2.31
16,147,91,Female,32,Night,Low,Low,Blue,Upright,No Object,Partially Visible,Neutral,6,7,1.91
14,181,48,Female,52,Night,Very High,Low,Black,Bending,No Object,Not Visible,Sad,5,25,1.24
15,152,55,Female,45,Night,Low,Low,Brown,Moving,Bag,Visible,Neutral,7,36,2.34
16,178,46,Female,18,Evening,Medium,High,Black,Upright,No Object,Partially Visible,Neutral,8,15,1.48
5,172,68,Male,40,Morning,Low,Medium,Purple,Upright,Purse,Visible,Neutral,5,39,2.35
7,157,74,Male,54,Morning,High,High,Purple,Bending,No Object,Visible,Happy,8,25,1.47
9,164,61,Male,43,Evening,Low,Medium,Blue,Upright,No Object,Visible,Sad,8,6,1.74
7,150,48,Female,23,Afternoon,Very High,Medium,Purple,Upright,Purse,Partially Visible,Sad,11,38,1.15
13,189,50,Female,18,Morning,Low,Low,Yellow,Upright,Purse,Partially Visible,Neutral,9,7,1.87
18,155,91,Male,33,Night,High,Medium,Brown,Bending,Bag,Visible,Neutral,7,16,1.37
18,158,85,Female,34,Night,High,Low,Green,Bending,No Object,Visible,Happy,2,14,1.89
14,167,91,Male,28,Afternoon,Low,High,Yellow,Moving,No Object,Visible,Happy,4,7,1.77
22,175,71,Female,17,Evening,Low,High,Brown,Upright,Purse,Visible,Sad,4,27,1.91
16,167,72,Female,17,Afternoon,Medium,Low,Purple,Upright,No Object,Partially Visible,Neutral,4,52,2.51
6,167,84,Female,37,Afternoon,High,Medium,Brown,Moving,Purse,Partially Visible,Neutral,11,21,1.31
20,171,75,Female,57,Evening,Very High,Medium,Purple,Mixed,Laptop,Not Visible,Happy,6,18,1.09
16,183,66,Female,40,Afternoon,Low,Medium,Green,Upright,No Object,Not Visible,Happy,11,49,2.27
17,162,59,Male,33,Night,Medium,Low,Red,Moving,Purse,Visible,Neutral,2,56,2.63
16,182,69,Male,56,Morning,Low,Medium,Black,Moving,No Object,Not Visible,Happy,8,21,1.98
16,180,48,Female,45,Evening,Low,High,Purple,Mixed,No Object,Partially Visible,Neutral,7,7,1.61
6,188,54,Male,46,Night,High,Low,Brown,Upright,Bag,Visible,Sad,9,46,1.96
16,186,81,Male,39,Night,Medium,Medium,Brown,Upright,No Object,Not Visible,Neutral,5,40,1.93
20,180,88,Male,48,Morning,Low,Low,Brown,Upright,No Object,Visible,Sad,6,59,2.63
11,156,50,Female,36,Morning,Very High,High,Brown,Moving,Purse,Partially Visible,Happy,4,41,1.45
17,179,49,Female,41,Evening,High,Low,Red,Moving,No Object,Partially Visible,Neutral,8,56,2.07
5,178,49,Female,41,Night,High,Low,Green,Upright,No Object,Not Visible,Sad,3,13,1.43
11,158,84,Female,48,Night,Low,Low,Red,Upright,No Object,Partially Visible,Sad,8,14,1.78
13,175,60,Female,55,Night,Very High,High,Green,Upright,No Object,Not Visible,Neutral,6,41,1.2
24,156,61,Female,26,Morning,Medium,Medium,Yellow,Bending,No Object,Visible,Neutral,9,46,2.1
9,168,45,Female,45,Evening,Medium,Low,Yellow,Mixed,Purse,Not Visible,Happy,1,26,2.12
10,180,93,Male,13,Evening,Low,Low,Blue,Upright,No Object,Partially Visible,Neutral,3,28,2.35
13,153,66,Female,37,Evening,Very High,High,Brown,Bending,Bag,Partially Visible,Happy,7,25,1.13
24,160,84,Male,55,Night,Medium,Medium,Blue,Bending,No Object,Not Visible,Happy,5,7,1.58
22,180,80,Female,42,Morning,High,Low,Blue,Moving,No Object,Visible,Neutral,4,53,2.22
5,165,52,Female,24,Afternoon,High,High,Purple,Moving,Bag,Visible,Happy,11,54,1.72
9,188,85,Female,41,Afternoon,High,Low,Brown,Upright,Laptop,Not Visible,Happy,10,57,2.14
21,145,72,Female,29,Night,High,Medium,Blue,Bending,No Object,Not Visible,Happy,2,32,1.75
6,177,75,Female,32,Morning,Very High,Low,Red,Moving,No Object,Partially Visible,Neutral,6,14,1.27
22,181,55,Female,22,Afternoon,Low,Medium,Red,Mixed,Laptop,Visible,Sad,8,27,1.91
10,186,87,Male,41,Morning,Low,High,Black,Bending,No Object,Visible,Sad,9,42,1.99
23,152,91,Male,21,Morning,High,Low,Red,Upright,No Object,Partially Visible,Happy,3,14,1.76
10,189,65,Female,33,Night,Medium,Medium,Brown,Bending,Purse,Visible,Happy,10,13,1.69
13,162,49,Female,57,Night,Medium,High,Black,Bending,Laptop,Not Visible,Sad,8,59,1.81
18,160,87,Male,48,Afternoon,High,High,Brown,Upright,Purse,Partially Visible,Happy,10,6,1.05
7,160,89,Female,31,Evening,Medium,Medium,Blue,Mixed,No Object,Visible,Neutral,8,37,1.99
16,173,70,Female,58,Evening,High,Medium,Blue,Upright,Bag,Visible,Happy,10,13,1.49
15,174,73,Female,12,Night,Medium,High,Red,Mixed,No Object,Not Visible,Neutral,1,6,1.39
20,166,56,Male,58,Afternoon,Very High,Low,Red,Upright,Purse,Partially Visible,Happy,3,39,1.81
24,148,48,Female,28,Night,Low,Low,Red,Upright,No Object,Visible,Neutral,6,15,2.14
18,189,92,Male,51,Afternoon,High,Low,Blue,Bending,Purse,Partially Visible,Neutral,4,44,2.03
13,154,69,Male,57,Evening,Very High,High,Yellow,Bending,Purse,Visible,Happy,3,50,1.65
13,149,58,Female,40,Afternoon,Medium,Low,Brown,Moving,No Object,Visible,Neutral,8,32,1.98
13,171,79,Female,41,Evening,Medium,Low,Blue,Bending,Purse,Partially Visible,Neutral,11,14,1.63
21,163,46,Male,47,Afternoon,Medium,Medium,Purple,Upright,Laptop,Visible,Sad,6,57,2.21
11,172,48,Male,23,Night,Medium,Low,Yellow,Mixed,No Object,Visible,Neutral,7,25,1.98
8,184,57,Male,20,Evening,Medium,Low,Yellow,Bending,No Object,Visible,Happy,7,47,2.49
11,149,67,Female,28,Afternoon,Low,Medium,Purple,Upright,No Object,Visible,Neutral,5,15,1.93
5,157,63,Female,34,Night,Very High,Low,Yellow,Moving,Purse,Partially Visible,Happy,8,13,1.26
7,168,54,Male,47,Evening,Low,High,Purple,Upright,Purse,Partially Visible,Sad,9,42,1.84
6,180,62,Male,24,Afternoon,Medium,Low,Green,Upright,No Object,Visible,Sad,2,16,1.86
20,172,61,Female,39,Morning,Medium,High,Yellow,Bending,No Object,Visible,Happy,4,34,1.98
19,162,71,Male,12,Night,Low,Medium,Red,Bending,Purse,Partially Visible,Neutral,2,37,2.28
18,172,73,Male,13,Night,Low,Low,Green,Bending,No Object,Not Visible,Neutral,9,11,1.71
14,189,89,Male,58,Evening,Very High,Low,Purple,Mixed,No Object,Visible,Happy,8,23,1.43
19,166,85,Female,52,Night,High,Medium,Red,Upright,No Object,Visible,Neutral,8,15,1.39
8,184,59,Male,53,Evening,Low,Low,Black,Mixed,Purse,Not Visible,Neutral,7,5,1.73
23,180,90,Male,27,Morning,High,Low,Green,Upright,Bag,Visible,Neutral,6,57,2.15
15,158,71,Male,36,Morning,Medium,High,Red,Upright,Purse,Not Visible,Neutral,9,6,1.16
23,156,54,Male,44,Morning,Low,Medium,Blue,Upright,No Object,Not Visible,Neutral,2,50,2.51
8,179,62,Male,24,Morning,High,High,Black,Upright,Laptop,Visible,Neutral,8,27,1.38
14,154,82,Male,47,Evening,Medium,Low,Brown,Upright,No Object,Visible,Neutral,10,20,1.84
18,160,86,Male,45,Night,Low,Low,Brown,Moving,Bag,Not Visible,Neutral,3,33,2.34
14,155,63,Male,31,Morning,Very High,Medium,Red,Moving,No Object,Visible,Neutral,8,55,1.62
13,172,52,Male,32,Evening,Medium,Low,Green,Moving,Bag,Partially Visible,Neutral,1,40,2.36
8,158,54,Female,26,Morning,Medium,Low,Red,Upright,Laptop,Visible,Happy,2,9,2.09
12,174,50,Male,50,Afternoon,Medium,Low,Red,Moving,Laptop,Partially Visible,Neutral,5,46,2.38
9,187,79,Female,59,Night,High,Low,Green,Upright,No Object,Not Visible,Neutral,11,46,1.76
11,182,70,Female,59,Night,High,High,Brown,Moving,Laptop,Partially Visible,Neutral,5,58,1.8
18,187,67,Female,49,Night,Very High,Low,Green,Moving,Purse,Visible,Happy,5,16,1.61
17,146,78,Female,28,Afternoon,Low,High,Red,Upright,No Object,Partially Visible,Neutral,9,51,2.16
17,165,86,Female,49,Night,High,Low,Blue,Bending,No Object,Partially Visible,Happy,9,25,1.77
12,154,84,Male,23,Night,Medium,Low,Black,Mixed,Purse,Visible,Neutral,8,24,1.92
24,186,51,Male,55,Afternoon,Medium,Low,Green,Upright,Bag,Partially Visible,Neutral,1,39,2.32
6,177,74,Male,24,Afternoon,Low,Medium,Yellow,Moving,Purse,Partially Visible,Neutral,10,34,1.98
11,159,89,Female,31,Morning,High,High,Brown,Mixed,No Object,Visible,Sad,3,17,1.26
7,170,83,Female,16,Night,Low,High,Purple,Upright,Purse,Not Visible,Sad,6,16,1.48
11,172,61,Female,15,Morning,High,Low,Blue,Upright,No Object,Visible,Sad,9,40,1.91
24,167,64,Female,30,Afternoon,Medium,Medium,Green,Upright,No Object,Visible,Sad,4,58,2.31
12,166,89,Male,38,Afternoon,Low,High,Red,Moving,Purse,Visible,Happy,8,17,1.75
23,147,46,Male,12,Morning,Very High,Low,Red,Upright,Purse,Visible,Happy,6,34,1.78
14,165,71,Male,52,Night,High,Medium,Purple,Upright,Purse,Visible,Happy,2,21,1.79
18,160,50,Male,17,Evening,Medium,Low,Black,Upright,Purse,Visible,Happy,3,18,2.11
14,181,89,Female,59,Morning,High,Medium,Brown,Mixed,No Object,Partially Visible,Sad,9,48,1.59
10,183,46,Male,25,Morning,Medium,Medium,Blue,Moving,Purse,Partially Visible,Sad,1,44,2.11
20,178,46,Female,30,Morning,High,Low,Red,Bending,No Object,Visible,Neutral,5,31,1.85
24,146,61,Female,19,Night,Low,High,Purple,Mixed,Bag,Partially Visible,Sad,6,31,1.83
10,182,55,Male,51,Afternoon,Medium,Medium,Brown,Bending,Bag,Partially Visible,Neutral,5,28,1.79
20,162,69,Female,47,Evening,Medium,High,Brown,Mixed,Laptop,Partially Visible,Neutral,5,59,2.1
10,163,59,Male,15,Morning,Medium,Medium,Black,Upright,Laptop,Not Visible,Happy,11,57,2.18
19,187,62,Female,17,Morning,Medium,Low,Green,Upright,Purse,Visible,Sad,1,9,1.84
20,184,73,Female,41,Evening,Low,Medium,Green,Moving,No Object,Visible,Neutral,11,49,2.31
13,147,73,Male,53,Morning,Very High,Low,Yellow,Upright,Laptop,Visible,Neutral,8,23,1.43
19,161,91,Female,17,Evening,Low,High,Blue,Upright,No Object,Visible,Happy,11,40,2.11
10,178,69,Male,22,Night,Low,Low,Green,Moving,Laptop,Visible,Neutral,8,56,2.64
6,169,73,Female,38,Afternoon,Medium,High,Green,Bending,No Object,Visible,Sad,11,28,1.36
6,156,78,Male,17,Evening,High,Medium,Black,Upright,Laptop,Partially Visible,Neutral,1,30,1.77
13,168,53,Male,26,Night,Low,Medium,Purple,Upright,Purse,Not Visible,Sad,8,39,2.04
23,183,78,Male,12,Night,Medium,Medium,Purple,Upright,Laptop,Partially Visible,Neutral,8,22,1.69
7,155,88,Male,35,Morning,High,Medium,Black,Upright,No Object,Partially Visible,Sad,11,19,1.17
14,178,60,Male,46,Morning,Low,Medium,Blue,Upright,Purse,Partially Visible,Neutral,1,38,2.3
19,178,53,Female,31,Night,Very High,Medium,Purple,Bending,Bag,Partially Visible,Neutral,6,16,1.17
9,184,62,Female,24,Night,Medium,Low,Green,Moving,No Object,Visible,Sad,6,41,2.17
19,158,58,Female,32,Afternoon,High,Medium,Green,Upright,No Object,Visible,Sad,2,18,1.53
11,154,74,Male,36,Evening,Low,Low,Purple,Upright,No Object,Visible,Happy,7,10,2.19
21,169,88,Male,19,Evening,High,Medium,Blue,Bending,Purse,Visible,Sad,6,10,1.33
16,168,74,Female,17,Evening,High,Medium,Black,Upright,Purse,Partially Visible,Neutral,6,19,1.37
15,163,51,Male,20,Night,Low,Low,Purple,Upright,Purse,Visible,Happy,8,10,2.05
8,180,60,Male,59,Afternoon,Low,Medium,Green,Upright,No Object,Visible,Neutral,9,21,1.95
14,180,79,Male,46,Night,Medium,Medium,Brown,Bending,No Object,Visible,Neutral,8,27,1.77
22,156,61,Male,18,Morning,Low,Medium,Red,Upright,Laptop,Partially Visible,Neutral,5,18,1.89
5,180,74,Male,26,Morning,Very High,Medium,Purple,Upright,Purse,Visible,Neutral,11,34,1.39
20,155,79,Female,31,Night,Medium,Medium,Green,Bending,No Object,Visible,Happy,3,26,2.02
14,163,61,Male,20,Morning,High,Medium,Brown,Moving,No Object,Visible,Happy,4,9,1.53
19,146,77,Female,52,Night,Very High,Low,Black,Moving,No Object,Visible,Neutral,6,23,1.41
18,160,64,Male,57,Afternoon,High,Low,Black,Mixed,Laptop,Partially Visible,Happy,4,5,1.58
13,188,51,Male,23,Afternoon,High,Medium,Green,Bending,Purse,Visible,Neutral,4,45,2.01
11,164,63,Female,12,Morning,Medium,Low,Red,Upright,Purse,Visible,Neutral,11,29,2.0
17,176,67,Female,24,Night,Medium,Low,Blue,Upright,Purse,Not Visible,Happy,2,37,2.34
7,149,45,Male,39,Afternoon,Medium,Low,Green,Upright,Laptop,Visible,Happy,6,12,1.95
16,173,89,Male,50,Morning,Medium,Low,Green,Upright,No Object,Partially Visible,Neutral,6,28,2.05
6,161,71,Female,28,Afternoon,Medium,High,Blue,Upright,No Object,Partially Visible,Sad,1,49,2.0
17,178,46,Male,25,Morning,Low,Low,Brown,Upright,No Object,Visible,Sad,3,16,2.09
17,186,88,Female,23,Night,Medium,Low,Yellow,Moving,Bag,Visible,Neutral,3,59,2.64
6,168,87,Male,12,Morning,Medium,High,Purple,Bending,Purse,Visible,Happy,6,28,1.87
20,149,45,Female,12,Afternoon,Medium,High,Purple,Upright,Purse,Visible,Neutral,5,12,1.43
13,166,53,Male,32,Afternoon,Low,Low,Brown,Bending,Laptop,Visible,Neutral,7,14,2.03
20,150,63,Female,41,Morning,Medium,High,Green,Upright,No Object,Partially Visible,Neutral,5,30,1.68
5,165,70,Female,12,Morning,Medium,Low,Brown,Bending,No Object,Visible,Neutral,9,57,2.35
8,147,81,Male,21,Evening,High,High,Red,Bending,Purse,Visible,Neutral,5,30,1.46
14,173,66,Male,55,Afternoon,High,Low,Yellow,Upright,Bag,Partially Visible,Neutral,10,14,1.39
8,158,75,Female,59,Morning,Low,Medium,Black,Upright,No Object,Visible,Sad,11,26,1.89
11,154,45,Female,42,Morning,Low,Low,Blue,Mixed,No Object,Partially Visible,Neutral,8,52,2.59
18,145,77,Male,37,Night,Medium,Medium,Green,Bending,Bag,Visible,Neutral,2,59,2.49
7,184,90,Female,39,Evening,Low,Low,Green,Bending,Purse,Partially Visible,Sad,10,38,2.16
18,182,71,Female,29,Evening,Medium,Medium,Green,Upright,Purse,Not Visible,Neutral,9,52,2.1
7,181,67,Male,21,Night,Very High,Medium,Red,Upright,No Object,Partially Visible,Happy,7,49,1.69
8,147,59,Female,30,Morning,Low,Low,Red,Upright,No Object,Not Visible,Happy,4,28,2.35
16,160,92,Male,45,Evening,Medium,High,Green,Mixed,No Object,Visible,Neutral,8,53,2.0
20,188,46,Female,43,Night,High,Low,Green,Upright,No Object,Visible,Neutral,7,9,1.44
8,171,59,Male,44,Morning,Medium,Low,Purple,Upright,Laptop,Visible,Neutral,9,49,2.35
10,150,51,Female,41,Evening,Low,Low,Blue,Mixed,Purse,Visible,Happy,8,36,2.48
23,151,88,Female,14,Night,Low,Low,Green,Upright,Laptop,Not Visible,Happy,10,37,2.33
24,156,69,Female,42,Evening,Very High,Low,Purple,Upright,No Object,Visible,Neutral,11,56,1.83
16,188,91,Female,54,Morning,Low,Medium,Purple,Bending,No Object,Visible,Neutral,9,19,1.98
13,152,78,Female,43,Evening,High,Medium,Red,Upright,Purse,Not Visible,Neutral,4,15,1.3
11,185,72,Female,39,Night,High,Medium,Red,Mixed,No Object,Visible,Neutral,10,41,1.77
17,175,70,Female,22,Morning,Medium,Medium,Red,Upright,No Object,Partially Visible,Neutral,10,45,1.99
